0.1	4.0	0.002	0.25	0.003	9.0	0.9463700269418558
0.1	4.0	0.002	0.25	0.003	14.5	0.9463700269418558
0.1	4.0	0.002	0.25	0.003	20.0	0.9463700269418558
0.1	4.0	0.002	0.25	0.006	9.0	0.9461957735765563
0.1	4.0	0.002	0.25	0.006	14.5	0.9461957735765563
0.1	4.0	0.002	0.25	0.006	20.0	0.9461957735765563
0.1	4.0	0.002	0.25	0.009	9.0	0.9461957735765563
0.1	4.0	0.002	0.25	0.009	14.5	0.9461957735765563
0.1	4.0	0.002	0.25	0.009	20.0	0.9461957735765563
0.1	4.0	0.002	0.275	0.003	9.0	0.9463700269418558
0.1	4.0	0.002	0.275	0.003	14.5	0.9463700269418558
0.1	4.0	0.002	0.275	0.003	20.0	0.9463700269418558
0.1	4.0	0.002	0.275	0.006	9.0	0.9461957735765563
0.1	4.0	0.002	0.275	0.006	14.5	0.9461957735765563
0.1	4.0	0.002	0.275	0.006	20.0	0.9461957735765563
0.1	4.0	0.002	0.275	0.009	9.0	0.9461957735765563
0.1	4.0	0.002	0.275	0.009	14.5	0.9461957735765563
0.1	4.0	0.002	0.275	0.009	20.0	0.9461957735765563
0.1	4.0	0.002	0.3	0.003	9.0	0.9463700269418558
0.1	4.0	0.002	0.3	0.003	14.5	0.9463700269418558
0.1	4.0	0.002	0.3	0.003	20.0	0.9463700269418558
0.1	4.0	0.002	0.3	0.006	9.0	0.9461957735765563
0.1	4.0	0.002	0.3	0.006	14.5	0.9461957735765563
0.1	4.0	0.002	0.3	0.006	20.0	0.9461957735765563
0.1	4.0	0.002	0.3	0.009	9.0	0.9461957735765563
0.1	4.0	0.002	0.3	0.009	14.5	0.9461957735765563
0.1	4.0	0.002	0.3	0.009	20.0	0.9461957735765563
0.1	4.0	0.004	0.25	0.003	9.0	0.947067040403054
0.1	4.0	0.004	0.25	0.003	14.5	0.9471977304270286
0.1	4.0	0.004	0.25	0.003	20.0	0.9472412937683535
0.1	4.0	0.004	0.25	0.006	9.0	0.9461522102352313
0.1	4.0	0.004	0.25	0.006	14.5	0.9461522102352313
0.1	4.0	0.004	0.25	0.006	20.0	0.9461957735765563
0.1	4.0	0.004	0.25	0.009	9.0	0.9459779568699318
0.1	4.0	0.004	0.25	0.009	14.5	0.9459779568699318
0.1	4.0	0.004	0.25	0.009	20.0	0.9459779568699318
0.1	4.0	0.004	0.275	0.003	9.0	0.947067040403054
0.1	4.0	0.004	0.275	0.003	14.5	0.9471977304270286
0.1	4.0	0.004	0.275	0.003	20.0	0.9472412937683535
0.1	4.0	0.004	0.275	0.006	9.0	0.9461522102352313
0.1	4.0	0.004	0.275	0.006	14.5	0.9461522102352313
0.1	4.0	0.004	0.275	0.006	20.0	0.9461957735765563
0.1	4.0	0.004	0.275	0.009	9.0	0.9459779568699318
0.1	4.0	0.004	0.275	0.009	14.5	0.9459779568699318
0.1	4.0	0.004	0.275	0.009	20.0	0.9459779568699318
0.1	4.0	0.004	0.3	0.003	9.0	0.947067040403054
0.1	4.0	0.004	0.3	0.003	14.5	0.9471977304270286
0.1	4.0	0.004	0.3	0.003	20.0	0.9472412937683535
0.1	4.0	0.004	0.3	0.006	9.0	0.9461522102352313
0.1	4.0	0.004	0.3	0.006	14.5	0.9461522102352313
0.1	4.0	0.004	0.3	0.006	20.0	0.9461957735765563
0.1	4.0	0.004	0.3	0.009	9.0	0.9459779568699318
0.1	4.0	0.004	0.3	0.009	14.5	0.9459779568699318
0.1	4.0	0.004	0.3	0.009	20.0	0.9459779568699318
0.1	4.0	0.006	0.25	0.003	9.0	0.948315856187701
0.1	4.0	0.006	0.25	0.003	14.5	0.9485772362356502
0.1	4.0	0.006	0.25	0.003	20.0	0.9487514896009498
0.1	4.0	0.006	0.25	0.006	9.0	0.9463409847143062
0.1	4.0	0.006	0.25	0.006	14.5	0.9463990691694057
0.1	4.0	0.006	0.25	0.006	20.0	0.9463990691694057
0.1	4.0	0.006	0.25	0.009	9.0	0.9459053513010571
0.1	4.0	0.006	0.25	0.009	14.5	0.9459343935286071
0.1	4.0	0.006	0.25	0.009	20.0	0.9459343935286071
0.1	4.0	0.006	0.275	0.003	9.0	0.948315856187701
0.1	4.0	0.006	0.275	0.003	14.5	0.9485772362356502
0.1	4.0	0.006	0.275	0.003	20.0	0.9487514896009498
0.1	4.0	0.006	0.275	0.006	9.0	0.9463409847143062
0.1	4.0	0.006	0.275	0.006	14.5	0.9463990691694057
